Star|Teff|logg|vt|[Fe/H]|logN(Li)|[C/H]|[N/H] (CN)|[N/H] (NH)|adopt. [N/H]|[O/H]|[C-N]/Fe
HD 2796|4950|1.5|2.1|-2.47|-0.30|-2.97|-0.56|-1.22|-1.62|-1.97|-0.14
HD 122563|4600|1.1|2.0|-2.82|-0.60|-3.29|-0.05|-2.12|-2.12|-2.20|0.04
HD 186478|4700|1.3|2.0|-2.59|-0.50|-2.89|-2.02|-2.02|-1.97|-1.84|
BD +17:3248|5250|1.4|1.5|-2.07|-0.00|-2.44|-1.37|-1.02|-1.42|-1.38|
BD −18:5550|4750|1.4|1.8|-3.06|0.75|-3.04|0.04|-3.02|-3.42|-2.64|-0.08
CD −38:245|4800|1.5|2.2|-4.19|-0.40|-4.52||-2.72|-3.12||-0.35
BS 16467−062|5200|2.5|1.6|-3.77|0.80|-3.08||-2.92|-3.32||
BS 16477−003|4900|1.7|1.8|-3.36|0.90|-3.07|0.08||-3.22|-3.62|
BS 17569−049|4700|1.2|1.9|-2.88|-0.30|-3.00|-0.05|-2.12|-2.02||0.22
CS 22169−035|4700|1.2|2.2|-3.04|-0.35|-3.26|-2.02|-2.13|-2.02||
CS 22172−002|4800|1.3|2.2|-3.86|0.32|-3.86||-3.22|-3.62|-2.82|
CS 22186−025|4900|1.5|2.0|-3.00|-0.15|-3.54||-1.62|-2.04|-2.41|
CS 22189−009|4900|1.7|1.9|-3.49|0.54|-3.18||-2.82|-3.22||0.25
CS 22873−055|4550|0.7|2.2|-2.99|-0.35|-3.72|0.06||-1.92|-2.47|-0.19
CS 22873−166|4550|0.9|2.1|-2.97|-0.55|-3.10||-1.52|-1.92||0.37
CS 22878−101|4800|1.3|2.0|-3.25|-0.30|-3.54||-1.52|-1.92||0.58
CS 22885−096|5050|2.6|1.8|-3.78|0.83|-3.52||-3.12|-3.52||0.2
CS 22891−209|4700|1.0|2.1|-3.29|-0.50|-3.94||-1.77|-2.17|-2.52|
CS 22892−052|4850|1.6|1.9|-3.03|0.20|-2.85||-2.32|-2.52|-2.56|
CS 22896−154|5250|2.7|1.2|-2.69|1.15|-2.46||-2.52|-2.92|-1.75|
CS 22897−008|4900|1.7|2.0|-3.41|0.90|-2.85||-1.92|-2.17||0.45
CS 22948−066|5100|1.8|2.0|-3.14|-0.00|-3.14||-1.52|-1.92|-2.25|
CS 22949−037|4900|1.5|1.8|-3.97|-0.30|-2.82||-1.32|-1.82|-1.99|
CS 22953−003|5100|2.3|1.7|-2.84|0.80|-2.54||-2.32|-2.72|-2.09|
CS 22956−050|4900|1.5|1.8|-3.33|0.97|-3.00|0.05||-2.12|-2.82|-0.88
CS 22966−057|5300|2.2|1.4|-2.62|1.35|-2.56|0.05||-2.32|-1.52|-1.63
CS 22968−014|4850|1.7|1.9|-3.56|0.52|-3.33|0.10||-2.92|-3.10|-3.22
CS 29491−084|4700|1.3|2.0|-3.04|-0.10|-3.18|0.05||-2.32|-1.82|-2.28
CS 29495−041|4800|1.5|1.8|-2.82|0.38|-2.89|0.06||-2.02|-1.20|-0.24
CS 29502−042|5100|2.5|1.8|-2.95|0.30|-3.00|0.10||-2.62|-2.42|-0.95
CS 29506−007|4650|1.2|1.4|-3.20|0.88|-3.07|0.06||-3.42|-2.82|-2.44
CS 29518−051|5200|2.6|1.4|-2.69|-0.10|-2.56|0.10||-1.47|-1.87|-1.89
CS 30325−028|4700|1.5|2.0|-2.94|-0.30|-2.95|0.06||-2.52|-2.92|-2.44
