#SpecID                              |     RAdeg      DEdeg|      snru|      snrg|      snrr|      snri|      snrz|          RV|        e_RV|    Teff|      e_Teff|q_Teff| TeffCor|        logg|      e_logg|q_logg| loggCor|        Vt|        e_Vt|q_Vt|   Vtcorr|    [Fe/H]|    e_[Fe/H]|q_[Fe/H]|[Fe/H]Cor|  [a/Fe]|   e_[a/Fe]|    [C/Fe]|   e_[C/Fe]|q_[C/Fe]|[C/Fe]Cor|    [N/Fe]|   e_[N/Fe]|q_[N/Fe]|[N/Fe]Cor|    [O/Fe]|   e_[O/Fe]|q_[O/Fe]|[O/Fe]Cor|   [Na/Fe]|  e_[Na/Fe]|q_[Na/Fe]|[Na/Fe]Cor|   [Mg/Fe]|  e_[Mg/Fe]|q_[Mg/Fe]|[Mg/Fe]Cor|   [Al/Fe]|  e_[Al/Fe]|q_[Al/Fe]|[Al/Fe]Cor|   [Si/Fe]|  e_[Si/Fe]|q_[Si/Fe]|[Si/Fe]Cor|   [Ca/Fe]|  e_[Ca/Fe]|q_[Ca/Fe]|[Ca/Fe]Cor|   [Ti/Fe]|  e_[Ti/Fe]|q_[Ti/Fe]|[Ti/Fe]Cor|   [Cr/Fe]|  e_[Cr/Fe]|q_[Cr/Fe]|[Cr/Fe]Cor|   [Mn/Fe]|  e_[Mn/Fe]|q_[Mn/Fe]|[Mn/Fe]Cor|   [Co/Fe]|  e_[Co/Fe]|q_[Co/Fe]|[Co/Fe]Cor|   [Ni/Fe]|  e_[Ni/Fe]|q_[Ni/Fe]|[Ni/Fe]Cor|   [Cu/Fe]|   e_[Cu/Fe]|q_[Cu/Fe]|[Cu/Fe]Cor|   [Ba/Fe]|   e_[Ba/Fe]|q_[Ba/Fe]|[Ba/Fe]Cor|        Chi2|       Chi2R|q_Chi2|      Chi2Na|     Chi2RNa|q_Chi2Na|   dSNRPlx|Mult|Uq|Name           |SubClass  |Filename
20111024-F5902-02-015               |331.393233  -1.482746|0.98|24.459999|49.5|74.559998|49.889999|-29.9313|5.06949|4757.05|36.6651|1.0|0.889441|4.59542|0.0671877|1.0|0.860503|1.54357|0.08347|1.0|0.484921|-0.10096|0.04456|1.0|0.938225|0.14502|0.01939|-0.16195|0.02808|1.0|0.868885|0.26215|0.09232|1.0|0.776172|0.0461|0.09159|1.0|0.794818|   0.37165|0.07734|1.0|0.778965|   0.13616|0.02873|1.0|0.819267|  -0.02022|0.10086|1.0|0.770472|-0.00458|0.08983|1.0|0.687367|0.21916|0.0335|1.0|0.794163|   0.06017|0.04802|1.0|0.74929|  -0.03750|0.03845|1.0|0.876523|  -0.09395|0.07946|1.0|0.930201|-0.01707|0.08273|1.0|0.813176|0.01531|0.04121|1.0|0.731422|       ---|999.0|0.0|0.367707|   0.46129|0.23729|1.0|0.790205|1.25495|2.45244|good|2.03609|1.6555|good|0.79132|YES|1.0|S3312335-012857|K5        |spec-55859-F5902_sp02-015.fits.gz
20111108-GAC_097N28_B1-03-086       | 95.966596  27.989525|13.84|85.660004|136.880005|191.039993|156.410004|46.5997|3.66946|5303.25|26.5516|1.0|0.944061|3.81405|0.0544166|1.0|0.919664|1.00256|0.05386|1.0|0.613905|0.23073|0.02267|1.0|0.937964|0.03069|0.01273|-0.21905|0.01908|1.0|0.837983|0.02818|0.04478|1.0|0.900687|-0.19514|0.06263|1.0|0.750882|   0.25841|0.05458|1.0|0.772869|   0.09191|0.02088|1.0|0.766414|   0.02471|0.05001|1.0|0.710729|0.03077|0.03372|1.0|0.821916|-0.05397|0.02428|1.0|0.915967|   0.03308|0.02774|1.0|0.741861|   0.02478|0.02951|1.0|0.811075|   0.16353|0.03246|1.0|0.918457|0.06071|0.03397|1.0|0.83526|0.11052|0.02486|1.0|0.77186|  -0.20243|0.26364|1.0|0.609102|  -0.34590|0.15936|1.0|0.67088|1.95576|1.62902|good|9.83213|1.25741|good|-2.9086|YES|1.0|S0955759+275922|G7        |spec-55874-GAC_097N28_B1_sp03-086.fits.gz
20111203-B9903-13-227               | 16.259791  27.481092|1.24|24.860001|51.150002|49.939999|46.900002|-28.0186|4.17911|4759.49|38.4908|1.0|0.907643|4.6373|0.0695151|1.0|0.877137|1.69407|0.19386|1.0|0.63718|-0.1588|0.04891|1.0|0.947678|0.02581|0.02255|-0.15638|0.02837|1.0|0.88521|0.10868|0.11024|1.0|0.839584|0.12838|0.09937|1.0|0.823286|  -0.16877|0.08311|1.0|0.61905|  -0.02484|0.03611|1.0|0.758058|   0.08374|0.11125|1.0|0.634784|-0.05716|0.09228|1.0|0.653757|0.10378|0.03737|1.0|0.854093|   0.00607|0.05223|1.0|0.701363|   0.11181|0.04078|1.0|0.816163|  -0.08302|0.07803|1.0|0.897092|-0.11018|0.09298|1.0|0.729371|-0.03725|0.04525|1.0|0.814116|       ---|999.0|0.0|0.436167|  -0.12025|0.31753|1.0|0.569543|0.669662|0.25807|good|1.13665|0.394393|good|0.0|YES|1.0|S0161532+272851|K3        |spec-55899-B9903_sp13-227.fits.gz
20111215-GAC_082N27_B1-07-183       | 89.412625  26.353219|1.52|35.279999|109.540001|163.509995|143.320007|29.3887|4.23007|4631.58|26.5499|1.0|0.904869|2.02754|0.06457|1.0|0.765482|1.64484|0.05745|1.0|0.723089|-0.24616|0.02861|1.0|0.948618|-0.01899|0.01674|-0.28967|0.02257|1.0|0.773095|0.37136|0.04677|1.0|0.843357|0.07837|0.0693|1.0|0.8116|   0.37360|0.05949|1.0|0.747147|  -0.02164|0.04339|1.0|0.632462|  -0.11772|0.07776|1.0|0.354675|0.0572|0.05293|1.0|0.73048|-0.02812|0.02246|1.0|0.913113|  -0.03002|0.0379|1.0|0.655524|   0.04795|0.04998|1.0|0.780778|  -0.17264|0.07191|1.0|0.807312|-0.09239|0.04525|1.0|0.815823|0.02484|0.02656|1.0|0.718225|       ---|999.0|0.0|0.440066|   0.93016|0.13674|1.0|0.729631|1.04297|3.66231|good|1.57453|0.388741|good|0.0|YES|1.0|S0892445+262111|G5        |spec-55911-GAC_082N27_B1_sp07-183.fits.gz
20120104-B5593103-01-013            | 57.100238  47.963266|2.72|34.259998|39.799999|25.940001|26.67|2.62019|4.95857|4866.27|33.4583|1.0|0.936569|4.52185|0.0622449|1.0|0.901415|1.76488|0.18879|1.0|0.698922|-0.09622|0.0463|1.0|0.961433|0.00489|0.01994|-0.17189|0.02418|1.0|0.884666|0.03734|0.08999|1.0|0.871096|0.12406|0.07955|1.0|0.838217|  -0.32238|0.08008|1.0|0.60166|  -0.04875|0.03061|1.0|0.817043|   0.13828|0.10429|1.0|0.626812|-0.14471|0.08032|1.0|0.719689|0.07753|0.03522|1.0|0.88841|   0.04978|0.04531|1.0|0.767455|  -0.03970|0.03403|1.0|0.861962|  -0.04800|0.05609|1.0|0.897772|-0.1273|0.07681|1.0|0.794609|0.00918|0.03857|1.0|0.835783|       ---|999.0|0.0|0.526169|   0.24543|0.22315|1.0|0.676597|0.429531|-0.729482|good|2.2054|1.81448|good|-3.41668|YES|1.0|S0570600+475747|K3        |spec-55931-B5593103_sp01-013.fits.gz
20120112-GAC_061N46_V3-09-126       | 63.040029  47.217609|1.43|26.719999|87.540001|128.360001|112.529999|-2.38035|3.55854|4775.97|35.8791|1.0|0.92071|2.96284|0.0811575|1.0|0.875939|1.25541|0.08004|1.0|0.694237|-0.00688|0.03502|1.0|0.946739|0.01593|0.02097|-0.2102|0.02872|1.0|0.846186|0.33223|0.0601|1.0|0.87494|0.06249|0.09151|1.0|0.84271|   0.29233|0.06916|1.0|0.726944|   0.13655|0.04263|1.0|0.740908|   0.11929|0.09586|1.0|0.590269|0.00493|0.06142|1.0|0.758239|-0.02831|0.03106|1.0|0.910911|  -0.02583|0.0487|1.0|0.672299|   0.16905|0.05324|1.0|0.81586|   0.14920|0.07314|1.0|0.907107|0.04021|0.05645|1.0|0.828393|0.01415|0.03284|1.0|0.733111|       ---|999.0|0.0|0.444643|   0.40730|0.20177|1.0|0.742543|0.616853|1.86496|good|1.90644|1.17491|good|0.0|YES|1.0|S0630224+471303|G5        |spec-55939-GAC_061N46_V3_sp09-126.fits.gz
20120113-GAC_103N06_V2-09-058       |104.549480   7.768118|6.98|69.550003|150.210007|184.330002|152.410004|54.0106|3.37866|4670.74|22.8825|1.0|0.913887|2.27573|0.0574004|1.0|0.830055|1.46876|0.03679|1.0|0.746877|-0.1678|0.02447|1.0|0.957997|-0.02214|0.01356|-0.28037|0.01833|1.0|0.830543|0.23736|0.04324|1.0|0.891859|-0.02646|0.05931|1.0|0.844615|   0.37887|0.04583|1.0|0.76236|  -0.03176|0.0314|1.0|0.649444|  -0.08312|0.07238|1.0|0.336437|-0.06404|0.04126|1.0|0.721953|-0.02222|0.01961|1.0|0.9247|   0.00591|0.02848|1.0|0.684995|   0.08090|0.03518|1.0|0.803889|   0.04720|0.04723|1.0|0.882875|-0.00342|0.03598|1.0|0.826123|-0.03228|0.02042|1.0|0.728558|       ---|999.0|0.0|0.483843|   0.65630|0.10338|1.0|0.729258|0.898844|1.52486|good|3.01902|0.286412|good|0.0|YES|1.0|S1043258+074605|G5        |spec-55940-GAC_103N06_V2_sp09-058.fits.gz
20120125-F5595206-07-015            |195.651519  54.534517|2.85|56.93|129.179993|157.850006|113.669998|-62.4887|3.87931|4633.78|22.8596|1.0|0.864262|4.64149|0.038478|1.0|0.844355|1.42504|0.05991|1.0|0.482124|-0.15628|0.03154|1.0|0.918659|0.10612|0.01126|-0.14318|0.01458|1.0|0.886311|0.11429|0.05698|1.0|0.747741|0.17232|0.05188|1.0|0.775996|   0.09396|0.0436|1.0|0.628937|   0.00319|0.01956|1.0|0.721852|   0.08512|0.04897|1.0|0.594288|0.07912|0.04093|1.0|0.603872|0.18823|0.01966|1.0|0.779932|   0.14112|0.02192|1.0|0.645503|   0.05880|0.0197|1.0|0.804398|  -0.22009|0.03637|1.0|0.880575|0.08782|0.04382|1.0|0.711274|-0.01113|0.02171|1.0|0.741595|       ---|999.0|0.0|0.43279|   0.09925|0.14339|1.0|0.624411|1.36564|0.793302|good|3.50972|1.39263|good|0.31169|YES|1.0|S1953905+543203|K5        |spec-55952-F5595206_sp07-015.fits.gz
20120128-GAC_103N06_V5-08-023       |104.510720   5.959580|1.0|27.450001|78.889999|129.190002|123.419998|21.9088|4.11015|4750.77|35.4602|1.0|0.923088|2.81865|0.0809891|1.0|0.88466|1.17519|0.07792|1.0|0.737459|-0.0464|0.03529|1.0|0.956099|0.02813|0.02123|-0.14207|0.02887|1.0|0.885555|0.23177|0.05721|1.0|0.914382|0.08618|0.08805|1.0|0.867644|   0.07743|0.09793|1.0|0.608932|  -0.00297|0.04403|1.0|0.753813|   0.20753|0.09768|1.0|0.63544|0.01432|0.06689|1.0|0.778302|0.04751|0.03056|1.0|0.923467|   0.02417|0.04951|1.0|0.716512|   0.12488|0.05703|1.0|0.818329|   0.06305|0.0745|1.0|0.91265|0.04836|0.05561|1.0|0.849011|-0.00871|0.03399|1.0|0.753985|       ---|999.0|0.0|0.462453|  -0.34001|0.27719|1.0|0.636239|0.46736|1.18201|good|0.657864|-0.272167|good|0.0|YES|1.0|S1043038+055734|G5        |spec-55955-GAC_103N06_V5_sp08-023.fits.gz
20120203-B5596106-10-079            |179.680188  30.393635|2.16|38.18|39.639999|53.02|40.939999|1.75079|4.01122|4455.13|34.5124|1.0|0.91599|2.31121|0.092438|1.0|0.842288|1.27076|0.06662|1.0|0.767791|-0.02929|0.04063|1.0|0.950707|0.00211|0.0227|-0.1767|0.02572|1.0|0.891264|0.0791|0.06325|1.0|0.890384|-0.10503|0.07001|1.0|0.898067|  -0.04110|0.0868|1.0|0.514142|   0.03144|0.04957|1.0|0.627047|  -0.03557|0.13833|1.0|0.61532|0.08006|0.07331|1.0|0.702398|-0.07806|0.03309|1.0|0.906083|   0.10992|0.04802|1.0|0.650514|   0.01738|0.0457|1.0|0.762075|  -0.07725|0.07447|1.0|0.87936|-0.04608|0.06129|1.0|0.776096|0.07302|0.04014|1.0|0.740419|       ---|999.0|0.0|0.331455|   0.06680|0.23066|1.0|0.588283|0.364835|0.500558|good|0.465419|-0.619456|good|0.0|YES|1.0|S1794048+302337|G5        |spec-55961-B5596106_sp10-079.fits.gz
